snapshot_index,age_myr,phase,stored_index_outer_to_inner,radius_pc,temperature_K,nH_internal_pc_minus3,nH_cm_minus3,nH_T_K_cm_minus3,muH_over_mu_ion,P_total_over_kB_K_cm_minus3,scalar_Pb_over_kB_K_cm_minus3,scalar_PHII_over_kB_K_cm_minus3
154,0.17330160076943843,implicit,89,1.1269660378218957,3950917.172024186,1.9900785256513553e+55,0.6773584886051535,2676187.2842464494,2.2999999999999994,6155230.753766832,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,88,1.1579581336134175,3893886.789025097,2.0192254800096737e+55,0.687279170978796,2676187.2842464545,2.2999999999999994,6155230.753766844,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,87,1.1887942185995755,3838174.63774276,2.048535088360812e+55,0.6972552155209771,2676187.2842464764,2.2999999999999994,6155230.753766894,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,86,1.2198548832618301,3783010.3152272627,2.07840707941611e+55,0.7074226769814341,2676187.2842464494,2.2999999999999994,6155230.753766832,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,85,1.2507389591651017,3729028.258599437,2.108494458989603e+55,0.7176634497405494,2676187.2842464657,2.2999999999999994,6155230.753766869,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,84,1.2818165774060768,3675506.048692051,2.1391980632083147e+55,0.7281139654766109,2676187.2842464386,2.2999999999999994,6155230.753766807,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,83,1.3126977127161035,3623043.865948384,2.1701739508512415e+55,0.738657157700721,2676187.2842464657,2.2999999999999994,6155230.753766869,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,82,1.3437420615254738,3570961.205256363,2.201826054312486e+55,0.749430511960531,2676187.284246471,2.2999999999999994,6155230.753766881,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,81,1.3746902982190234,3519630.3056398397,2.23393786787024e+55,0.760360336697337,2676187.28424646,2.2999999999999994,6155230.753766856,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,80,1.4056508699396186,3468806.5775005314,2.2666687360636857e+55,0.7715008676484916,2676187.2842464545,2.2999999999999994,6155230.753766844,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,79,1.436609312215376,3418454.066405126,2.300055893084152e+55,0.7828647781307697,2676187.2842464764,2.2999999999999994,6155230.753766894,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,78,1.467551381350463,3368537.443148665,2.3341392379842813e+55,0.7944656484937136,2676187.28424646,2.2999999999999994,6155230.753766856,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,77,1.4984630641883194,3319021.837478024,2.368961641616358e+55,0.8063180705915309,2676187.284246438,2.2999999999999994,6155230.753766806,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,76,1.5293305874588878,3269872.709735922,2.404569265727637e+55,0.8184377563928448,2676187.2842464596,2.2999999999999994,6155230.753766855,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,75,1.5603579162097976,3220711.8399125175,2.4412725544816507e+55,0.8309303710695045,2676187.284246455,2.2999999999999994,6155230.753766845,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,74,1.591200182866005,3172030.9048340875,2.4787385925812143e+55,0.8436826010011537,2676187.2842464657,2.2999999999999994,6155230.753766869,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,73,1.622165246969459,3123288.6528311116,2.5174219531536064e+55,0.8568491682062882,2676187.2842464764,2.2999999999999994,6155230.753766894,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,72,1.6530229435699164,3074792.511304586,2.557127153056777e+55,0.8703635365337262,2676187.284246477,2.2999999999999994,6155230.753766895,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,71,1.6838624526835584,3026346.1304836376,2.59806217850435e+55,0.8842964977766028,2676187.2842464545,2.2999999999999994,6155230.753766844,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,70,1.714766103065225,2977763.0464667254,2.6404503306608003e+55,0.898724056442943,2676187.2842464712,2.2999999999999994,6155230.753766882,6155230.753766852,6155230.753766852
