snapshot_index,age_myr,phase,r_bubble_pc,r_shell_pc,r_if_pc,P_HII_code_Msun_per_pc_Myr2,P_HII_over_kB_K_cm3,Pb_over_kB_K_cm3,P_ram_over_kB_K_cm3,P_drive_over_kB_K_cm3
82,0.0024606185964165905,energy,0.2871527232082903,0.29371167598757336,0.29371167598757336,62749.207420801635,294084674.5260789,294084674.5260789,0.0,294084674.5260789
83,0.0024906185964165906,energy,0.2887092050083578,0.29536798867551656,0.29536798867551656,62208.0232575593,291548324.2668878,291548324.2668878,0.0,291548324.2668878
84,0.0025206185964165907,energy,0.29025838366378043,0.2969968386633954,0.2969968386633954,61676.46334248032,289057079.6593058,289057079.65930575,0.0,289057079.6593058
85,0.0025506185964165907,energy,0.29180037308204976,0.2986396876503783,0.2986396876503783,61154.266352429695,286609715.96867496,286609715.96867496,0.0,286609715.96867496
86,0.002580618596416591,energy,0.29333528390798025,0.30027602882887355,0.30027602882887355,60641.18414426945,284205070.2306013,284205070.2306013,0.0,284205070.2306013
87,0.002610618596416591,energy,0.294863226419041,0.3018848848803618,0.3018848848803618,60136.971382031035,281841992.6369611,281841992.63696104,0.0,281841992.6369611
88,0.002640618596416591,energy,0.29638430503480534,0.3035084138699295,0.3035084138699295,59641.39568247334,279519394.0847578,279519394.0847578,0.0,279519394.0847578
89,0.002670618596416591,energy,0.2978986213071185,0.30510442763537216,0.30510442763537216,59154.23189837777,277236219.3838269,277236219.38382685,0.0,277236219.3838269
90,0.002700618596416591,energy,0.2994062740563834,0.30671554517476224,0.30671554517476224,58675.26455678182,274991458.68402606,274991458.684026,0.0,274991458.68402606
91,0.0027306185964165912,energy,0.3009073594598766,0.3082991078079844,0.3082991078079844,58204.28569616461,272784137.3388427,272784137.33884263,0.0,272784137.3388427
92,0.0027606185964165913,energy,0.3024019711755798,0.3098981928289532,0.3098981928289532,57741.09438822805,270613313.6641412,270613313.6641411,0.0,270613313.6641412
93,0.0027906185964165914,energy,0.30389020042069365,0.31146967471046266,0.31146967471046266,57285.496514522994,268478077.8912841,268478077.89128405,0.0,268478077.8912841
94,0.0028206185964165915,energy,0.3053721360841051,0.3130570864440419,0.3130570864440419,56837.30369262968,266377547.13449675,266377547.1344967,0.0,266377547.13449675
95,0.0028506185964165915,energy,0.3068478647960031,0.3146168390751942,0.3146168390751942,56396.334295455505,264310870.1679772,264310870.16797715,0.0,264310870.1679772
96,0.0028806185964165916,energy,0.30831747103018614,0.3161929185163226,0.3161929185163226,55962.41303127545,262277225.4576851,262277225.4576851,0.0,262277225.4576851
97,0.0029106185964165917,energy,0.30978103716608996,0.31774127564398347,0.31774127564398347,55962.41303127545,262277225.4576851,260275816.8159523,0.0,262277225.4576851
98,0.0034106185964165917,implicit,0.3334086278992772,0.3429816703311915,0.3429816703311915,49360.91412934936,231338194.73912945,231338194.73912945,0.0,231338194.73912945
99,0.0038077827137787323,implicit,0.351286864463517,0.3628797199123152,0.3628797199123152,42615.70523324393,199725643.0535127,199725643.05351266,0.0,199725643.0535127
100,0.004123261386018829,implicit,0.36493937503842033,0.3778294134937104,0.3778294134937104,39639.036250100864,185774985.10800207,185774985.10800204,0.0,185774985.10800207
101,0.00452042550338097,implicit,0.3814540280032912,0.3954879415731909,0.3954879415731909,37989.0695039993,178042139.49208635,178042139.49208635,0.0,178042139.49208635
102,0.0048359041756210665,implicit,0.3941108685252984,0.40916699692021574,0.40916699692021574,36514.69242300566,171132224.26263937,171132224.2626393,0.0,171132224.26263937
103,0.005233068292983208,implicit,0.4095473318341576,0.4260375192946648,0.4260375192946648,34505.23182233206,161714550.4622501,161714550.4622501,0.0,161714550.4622501
104,0.005548546965223304,implicit,0.42145768805805034,0.43927765040533356,0.43927765040533356,32786.215586991195,153658092.84542167,153658092.84542164,0.0,153658092.84542167
105,0.005945711082585445,implicit,0.43604304280358663,0.4554546423113135,0.4554546423113135,31011.560970285253,145340876.63183236,145340876.63183236,0.0,145340876.63183236
106,0.006445711082585445,implicit,0.4538163610460657,0.4752851998317724,0.4752851998317724,29061.7661986492,136202836.73654035,136202836.73654032,0.0,136202836.73654035
107,0.006842875199947586,implicit,0.4675098407454783,0.49082746810374367,0.49082746810374367,27476.61688063509,128773768.85784586,128773768.85784586,0.0,128773768.85784586
108,0.007342875199947587,implicit,0.48425011220437,0.5097325334958067,0.5097325334958067,25944.62765403512,121593844.65480714,121593844.6548071,0.0,121593844.65480714
109,0.00797233790584467,implicit,0.5046080628352192,0.5328348720982647,0.5328348720982647,24267.19076315899,113732255.60264309,113732255.60264306,0.0,113732255.60264309
110,0.00847233790584467,implicit,0.520264540371851,0.550957655066976,0.550957655066976,22912.266489469574,107382175.96955207,107382175.96955207,0.0,107382175.96955207
111,0.009101800611741753,implicit,0.539372479508032,0.5729697786214757,0.5729697786214757,21596.15361390874,101213992.4568376,101213992.4568376,0.0,101213992.4568376
112,0.00989424720797231,implicit,0.5625649993378384,0.5998809302456166,0.5998809302456166,20159.844704614658,94482490.09257616,94482490.09257616,0.0,94482490.09257616
113,0.010523709913869393,implicit,0.580369678443763,0.621011760198993,0.621011760198993,18997.068414755428,89032944.18107618,89032944.18107618,0.0,89032944.18107618
114,0.01131615651009995,implicit,0.6020619208732318,0.646632044376485,0.646632044376485,17891.974732792838,83853737.47649783,83853737.47649783,0.0,83853737.47649783
115,0.012313787667584388,implicit,0.6283384421246623,0.6766626588298601,0.6766626588298601,16688.308828579684,78212555.53606556,78212555.53606555,0.0,78212555.53606556
116,0.013106234263814945,implicit,0.6486606204443862,0.699950161723137,0.6999315596144118,15695.459165207098,73559399.2316648,73559399.2316648,0.0,73559399.2316648
117,0.014103865421299384,implicit,0.673836440493283,0.7282432666019005,0.7282432666019005,14706.85764335623,68926152.55430327,68926152.55430327,0.0,68926152.55430327
118,0.015359808637054174,implicit,0.7048415265646276,0.7630214925829496,0.7630214925829496,13637.437202959529,63914134.4735563,63914134.473556295,0.0,63914134.4735563
119,0.016357439794538613,implicit,0.7289124332962977,0.7914149773503161,0.7914149773503161,12698.05130686392,59511545.07262492,59511545.072624914,0.0,59511545.07262492
120,0.017613383010293405,implicit,0.7584881906838151,0.8250947294930571,0.8250947294930571,11840.80697448588,55493925.87329224,55493925.87329223,0.0,55493925.87329224
121,0.018611014167777846,implicit,0.7814164299585283,0.8512777042732295,0.8512777042732295,11240.535650822809,52680653.736435376,52680653.73643537,0.0,52680653.736435376
122,0.019866957383532637,implicit,0.8095900830229482,0.8823588996158579,0.8823588996158579,10676.602813319607,50037688.00366472,50037688.00366472,0.0,50037688.00366472
123,0.021448096213616825,implicit,0.8440512000646005,0.9218516142520317,0.9218516142520317,9925.208446878993,46516152.405397326,46516152.40539732,0.0,46516152.405397326
124,0.022704039429371617,implicit,0.8706849091554553,0.9538694259002856,0.9538694259002856,9282.658793703446,43504735.79333135,43504735.79333134,0.0,43504735.79333135
125,0.02428517825945581,implicit,0.9033142068273432,0.9912080883211535,0.9912080883211535,8728.439989337712,40907296.50449504,40907296.504495025,0.0,40907296.50449504
126,0.026275714112223295,implicit,0.9430768294085548,1.0367350401872941,1.0367350401872941,8122.519669995733,38067549.40287105,38067549.40287106,0.0,38067549.40287106
127,0.027856852942307483,implicit,0.9737115663638213,1.0730641229274935,1.0730641229274935,7635.929820884503,35787064.54441,35787064.54441,0.0,35787064.54441
128,0.02984738879507497,implicit,1.0111592876332138,1.1160406109835337,1.1160406109835337,7174.19534385593,33623068.55185819,33623068.55185819,0.0,33623068.55185819
129,0.03235332496321133,implicit,1.056701497688135,1.168956550304058,1.1685395770101477,6670.642317974641,31263082.92319781,31263082.923197806,0.0,31263082.92319781
130,0.034343860815978816,implicit,1.0917521428269399,1.2118632725225724,1.2113947021462088,6229.7621400954,29196824.097853113,29196824.097853113,0.0,29196824.097853113
131,0.036849796984115175,implicit,1.1345802179736162,1.2620567749220377,1.2615157895090476,5831.627372899645,27330898.801887292,27330898.801887292,0.0,27330898.801887292
