t_now,cool_beta,cool_delta,beta_plus_delta,Pb,bubble_dMdt,Lmech_total,Lmech_W,Lmech_SN,bubble_Lgain,bubble_Lloss,cooling_ratio,v_struct_min,v_struct_nneg,v_struct_npts,v_neg_frac_thick,R2,v2,Eb,bubble_Tavg,c_sound,no_physical_root,betadelta_converged
0.12552644011888228,1.7021491722479718,-0.22209566635997097,1.4800535058880009,224325.1239034123,1967.4751704185824,2025600558.9487553,2025600558.9487553,3.3323067845651944e-12,2025600558.9487553,913753900.6511517,0.5488972904285873,0.001652769287725186,0,59993,0.0,3.4679997178362165,24.6791458642669,50645560.121628135,14535243.459017877,591.6960259994614,False,True
0.13808587227643018,1.7703494904494443,-0.26648820086097014,1.5038612895884742,194645.2778976318,2041.844955167836,2028185143.3675773,2028185143.3675773,6.423169569088926e-12,2028185143.3675773,909509717.5452373,0.5515647471733784,0.0016766110144056808,0,59993,0.0,3.778301035655314,24.819227358149035,55603144.72365494,14179490.693181055,586.0169451558639,False,True
0.1538972605772721,1.7703494904494443,-0.26648820086097014,1.5038612895884742,165243.76508428858,2172.352420379308,2032356356.3418224,2032356356.3418224,9.814508879555838e-12,2032356356.3418224,899461219.7620386,0.5574293765188697,0.000834767232400875,0,59993,0.0,4.171502791125041,25.02748862436445,61658101.23901257,13797955.673246806,578.8010828132622,False,True
0.16645669273482,1.8378887646264643,-0.251798081135297,1.5860906834911672,136151.99921679578,2124.836381791073,2036237904.7973535,2036237904.7973535,1.1368769519330473e-11,2036237904.7973535,901715990.5281045,0.5571656983677242,0.0016410554442018177,0,59993,0.0,4.4859006317345544,25.098190655664325,66690281.82535561,13466332.764962522,570.9609307059028,False,True
0.18226808103566192,1.8378887646264643,-0.251798081135297,1.5860906834911672,118416.58348550802,2222.7910729267664,2041621751.9761722,2041621751.9761722,1.0881739825090441e-11,2041621751.9761722,886956948.5252137,0.5655625496413865,0.0014110450769680306,0,59993,0.0,4.883100344036564,25.22378478153736,72745429.55140364,13149480.627350079,564.0579049640348,False,True
0.2021734395633368,1.8378887646264643,-0.251798081135297,1.5860906834911672,100144.45814058937,2344.4983281188665,2048810034.7870572,2048810034.7870572,4.648070861610528e-12,2048810034.7870572,868852482.8632106,0.5759233564308882,0.0013157678147515642,0,59993,0.0,5.385893152665801,25.398676869359775,80583542.1052645,12808331.225721436,557.382486663022,False,True
0.22723280124470044,1.8378887646264643,-0.251798081135297,1.5860906834911672,82677.22171605742,2495.9441315479417,2057812973.0688012,2057812973.0688012,-1.437292375203043e-11,2057812973.0688012,850702991.2962875,0.5865984895470648,0.0022424523001942287,0,59993,0.0,6.023610994854886,25.630900759574022,90796423.59485586,12443020.648280524,550.1046220534098,False,True
0.24713815977237533,1.8378887646264643,-0.251798081135297,1.5860906834911672,66589.7282926779,2594.831867462391,2064707984.7907944,2064707984.7907944,-3.225014205462074e-11,2064707984.7907944,844048474.0630919,0.591202010027285,7.36322783063107e-05,0,59993,0.0,6.533831848321968,25.705053379006703,99252568.87777446,12178170.03027911,542.20301707752,False,True
0.272197521453739,1.8378887646264643,-0.251798081135297,1.5860906834911672,57034.20026339432,2727.280586705722,2073064011.2090008,2073064011.2090008,-4.354213579209294e-11,2073064011.2090008,842474194.2223867,0.5936091747928903,0.0025567627938461335,0,59993,0.0,7.178540032258407,25.84275774795825,110115730.68336388,11877480.662156101,536.4015642135709,False,True
0.3037453886777487,1.946981375832165,-0.2504030735155127,1.6965783023166523,47711.47652175495,2685.3249722032933,2083076001.2573774,2083076001.2573774,-1.4331313100228343e-11,2083076001.2573774,850104913.6555032,0.5918992330849348,0.0013144230199751612,0,59993,0.0,7.995281008789558,26.05502863051789,124185326.18420824,11475685.706025226,529.7380700506708,False,True
