segment,t,beta_nocage,delta_nocage,beta_cage,delta_cage,g_nocage,g_cage,f_cage,T0,conv_cage,cage_ok,Lmech_W,Lmech_SN,Lmech_total,R2,v2,R1_nocage,R1_cage,vmin_nocage,vmin_cage,c_sound
47,0.11718113,1.2464165,-0.16508635,1,-0.23226399,2.8635653e-05,0.00029309903,0.0074594527,3829834,False,True,2.0243105e+08,1.4102733e-13,2.0243105e+08,1.6653821,9.0108491,0.25364926,0.25364926,0.00089825306,0.0015510463,473.06181
48,0.12974056,1.1345207,-0.16380835,1,-0.25226399,5.0689025e-18,0.0001148762,0.0024535446,3770839.3,False,True,2.0263865e+08,4.365329e-13,2.0263865e+08,1.777729,8.9096398,0.27070349,0.27070349,0.0006713122,0.0025327701,469.62899
49,0.14555195,1.2511005,-0.1768891,1,-0.27226399,8.8501513e-17,0.00043349055,0.012212613,3695561.2,False,True,2.0300411e+08,8.1574983e-13,2.0300411e+08,1.9174535,8.8035677,0.28966924,0.28966924,0.00065699014,0.00044202042,464.5635
50,0.15811138,1.2511005,-0.1768891,1,-0.29226399,3.552404e-06,0.00034823806,0.0082003281,3643443.6,False,True,2.0336104e+08,1.0484347e-12,2.0336104e+08,2.027339,8.7162292,0.30560096,0.30560096,0.0019945031,0.0018778048,461.17244
51,0.17392277,1.2511005,-0.1768891,1,-0.31226399,6.4200784e-06,0.0003118053,0.0062687534,3586851.8,False,True,2.0387248e+08,1.154175e-12,2.0387248e+08,2.1642504,8.6304207,0.32516921,0.32516921,0.00065401829,0.0033013779,457.43586
52,0.19382813,1.2511005,-0.1768891,1,-0.33226399,6.1750399e-09,0.00036151331,0.0076185375,3525823.9,False,True,2.0457697e+08,8.1586488e-13,2.0457697e+08,2.3348893,8.5522499,0.34913431,0.34913431,0.0018502773,0.0015635547,453.36672
53,0.21888749,1.5006204,-0.076058648,1,-0.35226399,3.6391139e-15,0.0010388258,0.016814107,3422311.5,False,True,2.0548538e+08,-6.8912266e-13,2.0548538e+08,2.5478144,8.4900823,0.37838518,0.37838518,0.001009878,-0.0006887787,446.36287
54,0.23879285,1.1707001,-0.20827059,1,-0.37226399,1.2295872e-14,0.00015094254,0.00203373,3398640.5,False,True,2.0618452e+08,-2.511021e-12,2.0618452e+08,2.7159075,8.4256155,0.40505912,0.40505912,0.0020220922,0.00068192733,445.08832
55,0.26385221,1.4697971,-0.23981923,1,-0.39226399,2.6747762e-16,0.0013141961,0.03225875,3324358.9,False,True,2.0703212e+08,-4.2128813e-12,2.0703212e+08,2.9256877,8.3528225,0.43116761,0.43116761,0.00050818581,0.00041512922,439.67212
56,0.29540008,1.4697971,-0.23981923,1,-0.41226399,1.6295131e-05,0.0010281017,0.022117946,3237782.3,False,True,2.0804822e+08,-2.8521518e-12,2.0804822e+08,3.1880175,8.3239235,0.47063049,0.47063049,0.00040516539,0.00085705024,434.12805
57,0.33511649,1.5724764,-0.061802126,1,-0.43226399,3.633262e-16,0.0012257042,0.016376354,3124919.5,False,True,2.0924987e+08,8.1250168e-12,2.0924987e+08,3.5168985,8.2977963,0.51921009,0.51921009,0.00067467852,0.00068629225,426.82533
58,0.36666436,1.2053031,-0.24798121,1,-0.45226399,2.4562447e-16,0.00020285701,0.0026107728,3106738.5,False,True,2.1016155e+08,1.6031364e-11,2.1016155e+08,3.777201,8.2370722,0.55933823,0.55933823,0.00082509347,0.0015121982,425.7136
59,0.40638077,1.675204,-0.1583542,1,-0.47226399,2.1453713e-15,0.0019751681,0.035971195,3023288.8,False,True,2.1129582e+08,3.2471912e-12,2.1129582e+08,4.1023363,8.1794014,0.59845033,0.59845033,0.00012257817,-0.00047164823,419.28815
60,0.43792864,1.4083803,-0.13349868,1,-0.49226399,4.6980846e-17,0.00071004477,0.0088807433,2986122.8,False,True,2.1221222e+08,-3.3934292e-11,2.1221222e+08,4.3595205,8.1485104,0.63948772,0.63948772,-6.0824207e-05,-0.00011437216,417.09113
61,0.47764505,1.4083803,-0.13349868,1,-0.51226399,4.8149145e-05,0.00099165325,0.016134287,2941943.6,False,True,2.133839e+08,-5.9607608e-11,2.133839e+08,4.6818395,8.1148893,0.68326004,0.68326004,0.00021681707,0.0016025578,413.91229
62,0.52764505,1.4686748,-0.4418262,1,-0.53226399,7.651686e-15,0.0015705966,0.035898576,2908744.1,False,True,2.1486024e+08,7.6860017e-11,2.1486024e+08,5.0864993,8.1145359,0.73777502,0.73777502,0.00073999277,0.0017249822,411.00041
