t_now,current_phase,R2,v2,Eb,Pb,cool_beta,cool_delta,beta_plus_delta,Lgain,Lloss,ratio_F0,cum_Lloss,cum_Lgain,frac_cum,t_cool,t_dyn,F2_tcool_tdyn,R2_over_rCloud,F_ram,F_rad,F_HII,pdot_total
0.04562668487003354,implicit,0.9631478341997891,11.997345047764506,9902.269500218623,1768.1419204828094,0.8632668727447006,-0.11525729761016368,0.7480095751345369,688762.8218120348,260951.20255951333,0.6211305339144342,9514.326359269779,30826.608623981276,0.3086400607774997,0.03794682455222746,0.080280081165062,0.4726804457783978,0.2537268260548301,20611.656190245714,488.2740018680109,20611.656190245714,368.8976802802276
0.0481326210381699,implicit,0.9928521982271185,11.719544198934873,10360.604038155725,1688.7667197691642,0.8632668727447006,-0.11525729761016368,0.7480095751345369,688683.0348215521,265620.4554555556,0.6143066664559528,10352.302245339062,32999.25671817911,0.3137131946258667,0.03900529430380897,0.08471764612802549,0.4604152273643685,0.26155199446305616,20919.376160373147,491.51203724649105,20919.37616037315,368.91420209782564
0.05128740776057086,implicit,1.029304108100439,11.402509239844044,10932.485240529313,1599.188632013419,0.8632668727447006,-0.11525729761016368,0.7480095751345369,688582.4996779431,271367.6973125434,0.6059038714468277,11430.07736517639,35734.059325335176,0.31986506937577486,0.04028661240375268,0.09026996483403132,0.4462903300984208,0.27115470244555245,21291.044621617973,494.9498554850378,21291.044621617973,368.9385669434736
0.05525904893419227,implicit,1.0738479234969893,11.045727035862388,11645.434887321544,1500.0613088023533,0.9008948982623229,-0.14620121373855258,0.7546936845237704,688457.306918353,278687.4191083662,0.5952001434107563,12309.276734679657,37905.995296141125,0.324731658897577,0.041786726234646694,0.09721840128861643,0.42982321948077146,0.2828891013608851,21737.24181982568,499.076679858111,21737.24181982568,368.9753791185273
0.058413835656593235,implicit,1.108261851309495,10.78081829026211,12180.695776848555,1427.2749247598044,0.9008948982623229,-0.14620121373855258,0.7546936845237704,688360.2382254892,283167.82601919543,0.5886342494895284,13433.917731542357,40639.915160561315,0.33055968937108404,0.04301581838617092,0.10279941851079566,0.4184441800286403,0.291954933589228,22029.379686931432,501.662332766291,22029.379686931436,369.00991019955455
0.06238547683021464,implicit,1.1504518871535154,10.477794773519369,12847.019067011079,1345.667314410274,0.9008948982623229,-0.14620121373855258,0.7546936845237704,688242.7719995352,288537.63092146127,0.5807618435524141,14876.605886149664,44081.12902055899,0.3374824151897599,0.04452458774955417,0.10979904760695099,0.4055097810041066,0.30306926464593087,22381.257785294652,505.483117461711,22381.25778529466,369.0606047761606
0.06738547683021465,implicit,1.2019439304057606,10.136144686423366,13675.250737055094,1256.024953664749,0.9008948982623229,-0.14620121373855258,0.7546936845237704,688105.4196418526,294876.9529877051,0.5714654403664141,16047.751333787657,46814.03683700061,0.3427978533375256,0.04637612603662953,0.11857998949202825,0.39109571720570313,0.3166340697958328,22802.189421331055,509.79457957882164,22802.189421331055,369.13684674548495
0.07135711800383605,implicit,1.2416769167595885,9.881691361050667,14323.79316240396,1193.2453317985871,0.9008948982623229,-0.14620121373855258,0.7546936845237704,688007.242972811,299600.83099376154,0.564538260238052,17545.755488756466,50254.07305186467,0.3491409635722141,0.047809590897637456,0.12565429048449533,0.3804851447037278,0.32710112808041325,23118.3493917958,513.3228431133597,23118.349391795797,369.20810055840474
0.07635711800383606,implicit,1.2903299164931867,9.592252170491314,15130.201180032824,1123.1017248634025,0.9008948982623229,-0.14620121373855258,0.7546936845237704,687900.8838593045,305163.47579859407,0.5563845272497008,18757.755313923582,52986.168525570836,0.35401229860338346,0.049580642442343455,0.13451793109262017,0.3685801739561806,0.33991802987068576,23497.977921407055,517.3057731493993,23497.977921407062,369.31238767672113
0.08032875917745746,implicit,1.3279833780737476,9.37604319477566,15761.905162011964,1073.2289580223169,0.9008948982623229,-0.14620121373855258,0.7546936845237704,687832.6552512201,309273.76240089856,0.5503648161514793,20304.124125928076,56425.33180182694,0.35984058006497477,0.05096424940690724,0.14163579993036948,0.3598260427939978,0.34983726859767794,23784.14394798105,520.1174820742579,23784.14394798105,369.4076363607102
0.08532875917745747,implicit,1.3742188809420035,9.12789153210771,16547.97030357754,1016.7660693308038,0.9008948982623229,-0.14620121373855258,0.7546936845237704,687770.7076434825,314050.453412095,0.5433791379569943,22280.95460785791,60754.59190852713,0.36673696436648595,0.05269207582344546,0.1505516225853622,0.34999341035709697,0.3620173171605844,24129.18933812008,523.8442622179782,24129.18933812008,369.5442938359181
0.09162338623642831,implicit,1.430750755634128,8.847020473588733,17524.64004494888,954.071911257288,0.9008948982623229,-0.14620121373855258,0.7546936845237704,687736.7050861063,319545.2251209279,0.535366917662305,23878.680733462552,64193.275433957664,0.37198103028765134,0.054842440653954064,0.16172119866856752,0.3391172035915249,0.37690979018211096,24542.508039567223,527.8759913049339,24542.508039567223,369.74482088824095
0.09662338623642831,implicit,1.4744447687438247,8.63780133774899,18289.120952577796,909.7389842110632,0.9008948982623229,-0.14620121373855258,0.7546936845237704,687749.7478025346,323607.1746979538,0.5294695843481905,25915.667211793396,68522.40360627587,0.3782072117712435,0.056516426033039496,0.17069676774113735,0.33109253784317105,0.388420321452871,24853.27855707419,531.3087885360909,24853.278557074198,369.9283802816737
0.10291801329539915,implicit,1.5280331493292916,8.398683158487163,19239.74968272994,859.7930202894564,0.958100235167169,-0.028558525253356736,0.9295417099138122,687823.5389457342,337729.34372125985,0.5089883893201494,28591.99190058432,73973.0378287239,0.38651909857731953,0.05696795389686126,0.18193722997934034,0.31311872728484536,0.4025373751766801,25227.21631891131,535.0372354065802,25227.216318911313,370.1922683128747
