t_now,cool_beta,cool_delta,beta_plus_delta,Pb,bubble_dMdt,Lmech_total,Lmech_W,Lmech_SN,bubble_Lgain,bubble_Lloss,cooling_ratio,v_struct_min,v_struct_nneg,R2,v2,Eb,bubble_Tavg,c_sound,betadelta_converged
0.0077592721371887285,0.7491874443882371,-0.10941597539177089,0.6398,1482436.995147303,241.6879724487733,202820897.5233839,202820897.5233839,2.8282855950141546e-15,202820897.5233839,83960319.87064385,0.58604,0.0026020810931832077,0,0.39106598034783896,24.339432131168138,552926.360163029,14083009.499454848,576.8285600087717,True
0.008388734843085811,0.7491874443882371,-0.10941597539177089,0.6398,1398365.4833647572,242.98465341015844,202820072.84210306,202820072.84210306,2.1852170084461805e-15,202820072.84210306,85520539.48663597,0.57834,0.0027690765057973177,0,0.40615553264223114,23.634846642797545,584416.1385008143,13953970.891750814,574.179820676562,True
0.009181181439316368,0.79020627275487,-0.10978458294889613,0.6804,1307042.1632242503,233.68984896197105,202818812.50194937,202818812.50194937,1.205916071048424e-15,202818812.50194937,88044399.17547336,0.5659,0.003421805942678644,0,0.42455472521406395,22.841126813340114,624041.606452634,13751350.22970218,569.9958458709162,True
0.009810644145213451,0.79020627275487,-0.10978458294889613,0.6804,1240473.5535652582,234.10100800590945,202817637.93650228,202817637.93650228,2.9613318382356144e-16,202817637.93650228,89274920.0559787,0.55983,0.0020069504365538005,0,0.43874004224961927,22.25199994568753,653722.6745715278,13634531.445486892,567.5696026928674,True
0.010603090741444008,0.79020627275487,-0.10978458294889613,0.6804,1166837.610466489,234.57147268076653,202815944.9740248,202815944.9740248,-1.0112935799300383e-15,202815944.9740248,90760623.49054451,0.5525,0.001693848856714898,0,0.45609536039168597,21.579334653543228,690930.9023340694,13501049.873780234,564.7845264959392,True
0.01123255344734109,0.79020627275487,-0.10978458294889613,0.6804,1115003.3653705989,234.61487502922495,202814433.0044906,202814433.0044906,-2.1756413833313826e-15,202814433.0044906,91903708.02750319,0.54686,0.001298530138894947,0,0.46951506149689315,21.075888845690482,720338.646471856,13402221.035713501,562.7135942013222,True
0.012025000043571647,0.79020627275487,-0.10978458294889613,0.6804,1056722.1268468325,234.71505705249766,202812323.13117814,202812323.13117814,-3.795898804580786e-15,202812323.13117814,93275706.11600788,0.54009,0.001416008313294759,0,0.48597854978145466,20.49773548401641,757162.497123361,13288228.937868753,560.3154140190509,True
0.013022631201056087,0.79020627275487,-0.10978458294889613,0.6804,992472.4608555607,234.8897270864743,202809346.87202245,202809346.87202245,-6.0735628466295195e-15,202809346.87202245,94912268.91295342,0.53201,0.002584514582145571,0,0.5060865637165537,19.843748011311597,803241.711224942,13158615.510782672,557.5760585694873,True
0.013815077797286643,0.79020627275487,-0.10978458294889613,0.6804,947367.3730050329,234.73130942962058,202806734.4793772,202806734.4793772,-8.065902389308969e-15,202806734.4793772,96164434.0584888,0.52583,0.0015096454227052645,0,0.521612403969415,19.35755372571459,839599.2520583,13062849.965028249,555.5433947676969,True
0.014812708954771082,0.8419116485877132,-0.08760431038754597,0.7543,896784.8357764542,215.92739920206054,202803141.26013422,202803141.26013422,-1.0796731132286506e-14,202803141.26013422,98727062.08165435,0.51319,0.0007550794263962781,0,0.5406361049727637,18.80271250110998,885074.4758708415,12880507.375216952,551.6523902690033,True
