t_now,current_phase,R2,v2,Eb,Pb,cool_beta,cool_delta,beta_plus_delta,Lgain,Lloss,ratio_F0,cum_Lloss,cum_Lgain,frac_cum,t_cool,t_dyn,F2_tcool_tdyn,F3_force_ratio,R2_over_rCloud,F_ram,F_rad,F_HII,pdot_total
0.0077592721371887285,implicit,0.39106598034783896,24.339432131168138,552926.360163029,1482436.995147303,0.7491874443882371,-0.10941597539177089,0.6397714689964662,202820897.5233839,83960319.87064385,0.5860371347535143,383418.7749214342,1009757.6832451201,0.37971364940667524,0.006585567575432213,0.016067177666279853,0.40987706193436374,7.7911653246545,0.09568399700030135,2848958.895784708,257184.71637991245,2848958.895784708,108480.59517103265
0.008388734843085811,implicit,0.40615553264223114,23.634846642797545,584416.1385008143,1398365.4833647572,0.7491874443882371,-0.10941597539177089,0.6397714689964662,202820072.84210306,85520539.48663597,0.5783428223437512,451189.2353454198,1170481.7596160783,0.3854731025397707,0.00683363484385104,0.01718460622066285,0.39766025221074,7.867399271157822,0.09937603043974366,2898780.336219057,259974.15404984585,2898780.3362190574,108480.55840463619
0.009181181439316368,implicit,0.42455472521406395,22.841126813340114,624041.606452634,1307042.1632242503,0.79020627275487,-0.10978458294889613,0.6804216898059738,202818812.50194937,88044399.17547336,0.5658962889617198,506609.90108949615,1298148.6381403885,0.3902556966166988,0.007087805837699146,0.01858729338020694,0.38132533299585947,7.959939455815721,0.10387784950691313,2960511.955467208,263445.934176093,2960511.955467208,108480.50721212476
0.009810644145213451,implicit,0.43874004224961927,22.25199994568753,653722.6745715278,1240473.5535652582,0.79020627275487,-0.10978458294889613,0.6804216898059738,202817637.93650228,89274920.0559787,0.5598266454324416,577355.5076166115,1458870.7849786913,0.39575506861976445,0.007322579221147656,0.01971688132844202,0.3713862805769734,8.01144724481442,0.10734863935028206,3000626.3534058626,266061.89579705236,3000626.353405863,108480.46361848048
0.010603090741444008,implicit,0.45609536039168597,21.579334653543228,690930.9023340694,1166837.610466489,0.79020627275487,-0.10978458294889613,0.6804216898059738,202815944.9740248,90760623.49054451,0.5524975933121605,634485.935267876,1586535.8585011149,0.39991906383213344,0.007612672497848705,0.02113574712632751,0.36017995731819025,8.079169356923968,0.11159504863284794,3050223.003932448,269061.2528320704,3050223.0039324486,108480.40636317368
0.01123255344734109,implicit,0.46951506149689315,21.075888845690482,720338.646471856,1115003.3653705989,0.79020627275487,-0.10978458294889613,0.6804216898059738,202814433.0044906,91903708.02750319,0.5468581467993044,707314.7158752378,1747255.4656019537,0.40481471072780884,0.007837971524024764,0.022277355177496953,0.35183581989760354,8.133641101332113,0.1148785115389117,3088766.647975465,271271.6612385119,3088766.6479754653,108480.35996507815
0.012025000043571647,implicit,0.48597854978145466,20.49773548401641,757162.497123361,1056722.1268468325,0.79020627275487,-0.10978458294889613,0.6804216898059738,202812323.13117814,93275706.11600788,0.5400885672234149,800369.4665329291,1949587.3582794191,0.4105327535767794,0.008117467330471568,0.023708889704446026,0.3423807454361448,8.188513072764858,0.11890671251469924,3136208.0606951253,274520.62077920453,3136208.0606951257,108480.30171137681
0.013022631201056087,implicit,0.5060865637165537,19.843748011311597,803241.711224942,992472.4608555607,0.79020627275487,-0.10978458294889613,0.6804216898059738,202809346.87202245,94912268.91295342,0.5320123535881937,875582.3709735184,2110302.9348918954,0.4149083795016244,0.00846299135427493,0.02550357742035766,0.33183546036641653,8.265019169908358,0.12382663713544148,3194316.4885272877,278006.04612497473,3194316.4885272877,108480.23090113238
0.013815077797286643,implicit,0.521612403969415,19.35755372571459,839599.2520583,947367.3730050329,0.79020627275487,-0.10978458294889613,0.6804216898059738,202806734.4793772,96164434.0584888,0.5258321460312874,971519.0066321245,2312629.2521561957,0.4200928470165817,0.008730870828477417,0.026946194305352986,0.3240112770486105,8.318804753237403,0.12762541925108492,3239098.153436238,280890.4400871604,3239098.153436239,108480.17859164541
0.014812708954771082,implicit,0.5406361049727637,18.80271250110998,885074.4758708415,896784.8357764542,0.8419116485877132,-0.08760431038754597,0.7543073382001672,202803141.26013422,98727062.08165435,0.5131877077041039,1095514.5904649803,2567338.481555622,0.4267121761837876,0.008964861884969508,0.02875309107347402,0.3117877609075563,8.38593926359372,0.13228003980416905,3293883.32052897,284306.330549368,3293883.32052897,108480.1203171275
0.016068652170525874,implicit,0.5638407618735065,18.178675355931883,938002.6040275896,837715.6341983282,0.8419116485877132,-0.08760431038754597,0.7543073382001672,202798149.29552087,100027409.85269135,0.506763694835648,1195305.0511364914,2769656.233973015,0.4315716284478564,0.009377455693484115,0.031016603291147925,0.3023366422641264,8.432984741852936,0.13795763497444904,3346720.339983475,288380.6498019055,3346720.339983475,108480.06350802013
0.017066283328010315,implicit,0.5817352070519252,17.7117943168278,979583.2235880928,796492.5252311126,0.8419116485877132,-0.08760431038754597,0.7543073382001672,202793823.94432843,101047405.98256792,0.5017234548015241,1322214.8551499178,3024353.761352866,0.4371892177581962,0.009694293624490317,0.03284451008440316,0.2951571997748822,8.465044649542323,0.14233595506573113,3387211.111428119,291660.92685159796,3387211.111428119,108480.03538316762
0.018322226543765106,implicit,0.6036309583866561,17.1779603215197,1031388.197089859,750533.9305758786,0.8419116485877132,-0.08760431038754597,0.7543073382001672,202787941.55448067,102291925.33344877,0.4955719529015132,1483952.5902987064,3344989.650017499,0.44363443405301517,0.01008279190882139,0.035139850546194194,0.28693326101563066,8.503796422635272,0.14769329400676673,3436554.260792485,295639.9793247219,3436554.2607924854,108480.0266111115
0.019903365373849298,implicit,0.6302929761210952,16.576447998484042,1095829.0217430093,700350.6907451825,0.8419116485877132,-0.08760431038754597,0.7543073382001672,202779871.4293145,103822436.67086437,0.4880042287281208,1614347.67527861,3599669.6538307755,0.44847106277116794,0.010554838211098653,0.0380234038184017,0.27758793666943,8.553506348513654,0.15421681830477627,3496313.444779232,300277.85094128107,3496313.4447792326,108480.06684372036
0.02115930858960409,implicit,0.6508212802344806,16.129664146537102,1146316.7664835493,665386.3528109171,0.8419116485877132,-0.08760431038754597,0.7543073382001672,202772956.99889547,105033003.5154679,0.4820167093778682,1780419.4355772857,3920281.849832721,0.45415597749770376,0.010913872098446986,0.040349338605057454,0.2704845352057152,8.589172630611348,0.1592395773477882,3541663.0693223793,303860.27503952023,3541663.069322379,108480.14721489848
0.02274044741968828,implicit,0.6759055931748174,15.621451701375731,1209102.2167669856,626478.2448805224,0.8419116485877132,-0.08760431038754597,0.7543073382001672,202763650.01202375,106546846.02471164,0.4745268887278687,1992504.7525887713,4323890.164819653,0.4608129893770966,0.011348080791491058,0.04326778369229874,0.2622755274962445,8.622514894053515,0.16537707701473173,3596565.208826822,308632.93000446283,3596565.208826822,108480.31978617304
0.024730983272455768,implicit,0.7064055062120898,15.051718022161493,1287046.794223255,584079.0804263303,0.8419116485877132,-0.08760431038754597,0.7543073382001672,202751034.8274309,108494653.67127872,0.46488730001490436,2164049.862364966,4644467.698825056,0.46594141733667804,0.01186276697212011,0.04693188546131472,0.25276561671272335,8.671191861323063,0.17283963764189766,3662601.4858024,313906.6510741363,3662601.4858024004,108480.66826763118
0.026312122102539956,implicit,0.7298586749749907,14.629990627301263,1347985.8782974328,554579.7146888525,0.7895168473174085,-0.21231970814331685,0.5771971391740915,202740348.17933238,107712474.70894322,0.46871712672769505,2378455.4050634285,5048029.63067858,0.47116510382759086,0.012514668165780351,0.049887842963685126,0.25085606877992617,8.699110422980585,0.17857803740646153,3712371.1817761585,318271.90218462015,3712371.1817761585,108481.06464393348
0.028302657955307443,implicit,0.758483490994975,14.151534483726422,1429032.3287941657,523763.1462203128,0.8531016514042067,-0.12830129154665387,0.7248003598575528,202726120.6093189,112153362.61224546,0.446773991061663,2555785.441614162,5368567.771846305,0.47606466942955283,0.012741769800829288,0.053597261262882424,0.23773173293937155,8.770226336204864,0.18558180901491023,3786492.1922149383,323262.2185715674,3786492.1922149383,108481.73501190022
0.02988379678539163,implicit,0.7805710040020021,13.798586717819562,1487515.6322056812,500172.667313557,0.8531016514042067,-0.12830129154665387,0.7248003598575528,202714252.0959173,113649912.43586293,0.43935904229324857,2782009.6669816324,5772077.758510174,0.48197716374834393,0.013088577019759203,0.05656890955317684,0.23137403784415295,8.788091584020513,0.1909860672079361,3829610.8795623737,327290.33591335634,3829610.8795623747,108482.41895025916
0.031874332638159114,implicit,0.8076180677731131,13.392486457639203,1560160.410841113,473592.80380154896,0.8531016514042067,-0.12830129154665387,0.7248003598575528,202698661.15079796,115448003.75692444,0.4304451588309371,3071314.9951352514,6280027.664720776,0.4890607428991014,0.01351396611522212,0.060303818139195504,0.2240980178739045,8.807280808801792,0.19760380257433138,3881745.0805080812,332259.24908484466,3881745.080508082,108483.49147007834
0.03438026880629547,implicit,0.8405753540195288,12.931287820219094,1650194.4194149335,444232.9792235912,0.8531016514042067,-0.12830129154665387,0.7248003598575528,202678116.05352852,117509488.2213344,0.42021620039975394,3305221.8444801765,6683465.721296694,0.49453711327465494,0.014043073835082307,0.06500322053811397,0.21603658586190042,8.832135315221292,0.20566762054063775,3944336.5611474155,338104.0228641606,3944336.561147416,108485.21296307477
0.036370804659062964,implicit,0.8659617256000044,12.58711539843554,1720418.6726527251,423553.9257272644,0.8531016514042067,-0.12830129154665387,0.7248003598575528,202661162.79092538,119076763.7857213,0.4124342219995728,3603620.6136354455,7191321.659011045,0.5011068596994197,0.014447979756559554,0.06879747250967726,0.21000742075993065,8.846204621586114,0.21187902634994438,3991314.6830262304,342702.5989591251,3991314.6830262304,108486.90589211947
0.03887674082719932,implicit,0.8969900603416118,12.192009481644508,1807456.2628952577,400345.4046634078,0.8531016514042067,-0.12830129154665387,0.7248003598575528,202639151.0580053,120933765.96940894,0.40320631359735737,3985140.8528056825,7830604.962207443,0.508918643200496,0.014945836246863152,0.07357196216850564,0.20314581542125973,8.860033687199657,0.21947087846067917,4047808.640116913,348372.0520924272,4047808.6401169132,108489.48850926345
0.04203152754960029,implicit,0.9347149921859591,11.744045521713,1915039.794319528,374820.554367332,0.9329497356607124,-0.11731396947270954,0.8156357661880028,202610603.20812595,124568942.08821641,0.3851805378603186,4297302.670211027,8338334.2008346105,0.5153670465476062,0.015373332728179931,0.07959054573296821,0.1931552621809948,8.87443993806353,0.22870121923903178,4115206.9440625734,355221.02529240557,4115206.9440625743,108493.527150725
0.04453746371773665,implicit,0.9637123063101485,11.409915721436032,1989497.290840744,355274.0191100691,0.9329497356607124,-0.11731396947270954,0.8156357661880028,202587451.5530087,125477416.21626432,0.3806259210312831,4693157.156851278,8977454.403119091,0.5227714835533674,0.015855421244981505,0.08446270155173918,0.1877209816130375,8.844318257101675,0.23579613175279185,4146370.659909581,360320.02023866883,4146370.6599095818,108497.42157830695
